sp	ten.yr
0.0256000	0.00950
-0.0150000	-0.00240
0.0153000	-0.01190
-0.0040000	0.07620
-0.0258000	-0.03620
0.0118000	-0.04720
0.0201000	-0.03440
0.0165000	0.04400
0.0017000	0.01900
0.0013000	-0.01420
-0.0281000	0.06010
0.0374000	0.01780
0.0198000	-0.01550
0.0131000	-0.01120
-0.0016000	0.03340
0.0133000	0.03230
0.0065000	0.05560
-0.0094000	0.02380
-0.0290000	0.00000
0.0057000	-0.00390
0.0211000	-0.04210
0.0235000	-0.03330
0.0340000	0.00210
0.0184000	-0.02790
0.0198000	-0.00870
0.0054000	0.04290
0.0144000	-0.00840
-0.0265000	-0.03450
0.0395000	0.02810
0.0319000	0.01270
0.0022000	0.07110
0.0041000	-0.01980
-0.0444000	-0.06830
0.0288000	-0.03260
0.0280000	0.00220
-0.0508000	-0.08760
0.0108000	-0.01210
-0.0703000	-0.09190
-0.0175000	0.00000
-0.0284000	-0.06350
0.0398000	0.04730
0.0236000	0.05290
-0.0452000	0.05520
-0.0646000	-0.02220
0.0190000	-0.03040
-0.0516000	-0.05280
-0.2281000	0.03200
-0.0927000	-0.07630
-0.0062000	-0.37750
-0.0137000	0.04050
-0.0723000	0.13010
-0.0616000	-0.01760
0.1135000	0.03830
0.0620000	0.11590
0.0259000	0.12280
0.0104000	-0.04400
0.0760000	0.00840
0.0339000	-0.05440
0.0219000	-0.00290
0.0189000	0.00290
0.0203000	0.05440
0.0118000	0.03830
-0.0311000	-0.01080
0.0561000	0.01080
0.0385000	0.03170
-0.0622000	-0.11840
-0.0378000	-0.06650
-0.0033000	-0.06120
0.0069000	-0.10870
0.0315000	-0.01870
0.0432000	-0.04240
0.0230000	0.08310
0.0349000	0.17570
0.0326000	0.02990
0.0296000	0.05450
-0.0127000	-0.04870
0.0205000	0.01460
0.0051000	-0.08750
-0.0389000	-0.05510
0.0290000	0.00000
-0.1115000	-0.26570
-0.0097000	-0.14980
0.0280000	0.08240
0.0158000	-0.06730
0.0137000	-0.01500
0.0450000	-0.00510
0.0391000	0.00000
0.0268000	0.09670
-0.0020000	-0.05690
-0.0331000	-0.13010
-0.0134000	-0.10540
0.0271000	-0.05720
0.0316000	0.09350
0.0281000	0.02350
-0.0039000	0.01730
-0.0306000	-0.05880
0.0197000	0.04150
0.0400000	0.10480
0.0213000	0.03600
0.0252000	-0.01020
