	state	year	urate	children	nonwhite	finc	earn	age	ed	work	unearn
1	11	1991	7.599999905	0	1	18714.39427	18714.39427	26	10	1	0
2	12	1991	7.199999809	1	0	4838.568282	471.3656388	22	9	1	4.367202643
3	13	1991	6.400000095	2	0	8178.193833	0	33	11	0	8.178193833
4	14	1991	9.100000381	0	1	9369.570485	0	43	11	0	9.369570485
5	15	1991	8.600000381	3	1	14706.60793	14706.60793	23	7	1	0
6	16	1991	6.800000191	1	0	21605.04405	18854.62555	53	7	1	2.750418502
7	21	1991	7.300000191	0	1	19146.87225	14140.96916	52	11	1	5.005903084
8	22	1991	6.699999809	0	1	64311.94934	63802.87445	51	11	1	0.50907489
9	23	1991	7	1	1	17676.21145	17676.21145	20	11	1	0
10	31	1991	6.400000095	2	1	12214.26212	2358.006608	32	11	1	9.856255507
11	32	1991	6	0	0	47475.94714	47136.56388	51	9	1	0.33938326
12	33	1991	7.199999809	2	0	12962.55507	4713.656388	29	10	1	8.248898678
13	34	1991	9.300000191	0	0	7070.484582	0	54	9	0	7.070484582
14	35	1991	5.5	0	0	0	0	28	11	0	0
15	41	1991	5.099999905	0	1	3605.947137	0	27	11	0	3.605947137
16	42	1991	4.599999905	1	0	6223.204846	0	37	7	0	6.223204846
17	43	1991	6.699999809	1	0	15814.31718	0	41	10	0	15.81431718
18	44	1991	4.300000191	0	0	21211.45374	21211.45374	45	9	1	0
19	45	1991	3.599999905	0	0	13858.14978	10558.59031	51	7	1	3.299559471
20	46	1991	2.799999952	0	0	5038.898678	5038.898678	43	10	1	0
21	47	1991	4.5	1	0	5185.022026	2356.828194	24	11	1	2.828193833
22	51	1991	6.300000191	1	0	0	0	24	11	0	0
23	52	1991	6	3	0	7056.343612	0	38	9	0	7.056343612
24	53	1991	7.800000191	2	1	23488.14978	21918.5022	38	10	1	1.569647577
25	54	1991	5.900000095	4	1	5797.797357	0	26	11	0	5.797797357
26	55	1991	10.60000038	1	0	13845.18723	7924.834802	46	9	1	5.920352423
27	56	1991	5.800000191	1	1	15319.38326	15319.38326	41	11	1	0
28	57	1991	6.300000191	1	1	2743.348018	0	20	11	0	2.743348018
29	58	1991	5	1	1	15114.33921	14494.49339	37	11	1	0.619845815
30	59	1991	7.400000095	0	0	16497.79736	16497.79736	46	11	1	0
31	61	1991	7.5	2	0	3224.140969	0	46	7	0	3.224140969
32	62	1991	6.699999809	0	1	20992.26872	20033.03965	53	3	0	0.959229075
33	63	1991	7.199999809	2	1	11312.77533	8955.947137	42	11	1	2.356828194
34	64	1991	8.699999809	0	0	14169.2511	14140.96916	36	11	1	0.028281938
35	71	1991	7.400000095	1	0	4963.480176	3087.444934	45	7	1	1.876035242
36	72	1991	7.199999809	0	1	4713.656388	3299.559471	39	11	1	1.414096916
37	73	1991	6.699999809	0	1	1343.392071	0	41	7	0	1.343392071
38	74	1991	6.699999809	0	1	3588.270925	3588.270925	52	0	1	0
39	81	1991	7.099999905	2	0	13886.43172	0	33	9	0	13.88643172
40	82	1991	6.199999809	0	1	33409.21806	32288.54626	50	7	1	1.120671806
41	83	1991	5.199999809	1	1	4619.38326	2356.828194	49	9	1	2.262555066
42	84	1991	5.099999905	0	0	23568.28194	23568.28194	51	0	1	0
43	85	1991	7.099999905	0	1	0	0	27	11	0	0
44	86	1991	5.800000191	0	1	10900.3304	0	54	7	0	10.9003304
45	87	1991	5	3	1	6881.938326	0	21	10	0	6.881938326
46	88	1991	5.599999905	0	0	824.8898678	824.8898678	34	11	1	0
47	91	1991	6.400000095	0	0	8390.30837	4713.656388	54	9	1	3.676651982
48	92	1991	6.099999905	3	0	8343.171806	0	31	11	0	8.343171806
49	93	1991	7.699999809	1	1	7466.431718	0	46	7	0	7.466431718
50	94	1991	8.699999809	0	0	31784.18502	353.5242291	45	7	0	31.43066079
51	95	1991	2.799999952	0	0	9193.986784	9191.629956	45	3	1	0.002356828
52	11	1992	7.199999809	0	0	19459.05203	19447.61226	32	11	1	0.011439772
53	12	1992	7.5	1	0	0	0	27	10	0	0
54	13	1992	6.699999809	2	0	68779.3407	68753.02922	43	9	1	0.026311475
55	14	1992	8.600000381	3	0	2070.598717	2059.158945	31	7	1	0.011439772
56	15	1992	9	2	0	24463.95225	20339.91447	35	10	1	4.124037776
57	16	1992	7.599999905	0	0	36804.03421	32603.34996	52	10	1	4.200684248
58	21	1992	8.600000381	0	1	11105.73058	0	22	11	0	11.10573058
59	22	1992	8.5	0	1	31739.64719	25049.66857	47	7	0	6.689978617
60	23	1992	7.599999905	2	0	39471.78902	24481.1119	41	7	1	14.99067712
61	31	1992	7.300000191	1	0	11439.77192	11439.77192	27	9	1	0
62	32	1992	6.599999905	0	0	49733.26443	49733.26443	25	11	1	0
63	33	1992	7.599999905	0	1	21689.80756	21689.80756	24	11	1	0
64	34	1992	8.899999619	0	0	4475.238774	0	21	11	0	4.475238774
65	35	1992	5.199999809	1	1	25626.23307	0	52	9	0	25.62623307
66	41	1992	5.199999809	0	1	276.8424804	203.6279401	23	11	1	0.07321454
67	42	1992	4.699999809	0	0	17852.90805	6406.272274	46	3	1	11.44663578
68	43	1992	5.699999809	2	0	4919.101924	4575.908767	24	10	1	0.343193158
69	44	1992	5.099999905	3	0	7398.100499	1415.099786	34	10	1	5.983000713
70	45	1992	3.200000048	1	1	33203.93799	30887.38418	31	10	1	2.316553813
71	46	1992	3	0	0	1439.123307	0	32	0	0	1.439123307
72	47	1992	4.300000191	0	0	12953.25374	0	49	7	0	12.95325374
73	51	1992	5.300000191	0	0	17605.80898	13899.32288	46	11	1	3.706486101
74	52	1992	6.699999809	1	1	60001.60371	54453.31433	34	0	0	5.54828938
75	53	1992	8.600000381	3	1	4392.872416	0	21	10	0	4.392872416
76	54	1992	6.400000095	1	0	0	0	32	10	0	0
77	55	1992	11.39999962	3	0	0	0	36	11	0	0
78	56	1992	6	0	1	14512.49465	14299.7149	52	11	1	0.212779758
79	57	1992	6.300000191	0	0	0	0	41	11	0	0
80	58	1992	7	0	0	15268.66358	0	49	7	0	15.26866358
81	59	1992	8.300000191	3	0	4996.892374	0	25	11	0	4.996892374
82	61	1992	6.900000095	3	0	8236.635781	0	36	7	0	8.236635781
83	62	1992	6.400000095	0	1	45865.47755	39124.01996	52	11	1	6.741457591
84	63	1992	7.400000095	0	0	5825.13186	0	32	10	0	5.82513186
85	64	1992	8.199999809	2	1	1194.312188	0	29	11	0	1.194312188
86	71	1992	7.300000191	0	1	11439.77192	11439.77192	45	10	1	0
87	72	1992	8.199999809	2	1	11563.32145	0	41	10	0	11.56332145
88	73	1992	5.699999809	0	0	3386.172488	0	50	9	0	3.386172488
89	74	1992	7.699999809	0	1	11368.84533	11368.84533	35	11	1	0
90	81	1992	6.900000095	1	0	6489.782609	1707.957947	20	9	1	4.781824661
91	82	1992	6.5	3	0	32470.64861	25167.49822	35	10	1	7.303150392
92	83	1992	5.699999809	0	0	10638.98788	10410.19245	31	10	1	0.228795438
93	84	1992	6	2	1	61636.34711	45187.09907	40	9	1	16.44924804
94	85	1992	7	1	1	3970.744833	85.79828938	43	7	1	3.884946543
95	86	1992	7.599999905	1	1	23331.41483	21415.25303	25	11	1	1.916161796
96	87	1992	5	4	1	5147.897363	0	38	7	0	5.147897363
97	88	1992	6.699999809	3	0	11256.73557	0	33	11	0	11.25673557
98	91	1992	7.599999905	0	0	9190.712758	6863.86315	36	11	1	2.326849608
99	92	1992	7.599999905	0	0	28908.30364	28599.42979	54	7	1	0.308873842
100	93	1992	9.300000191	1	1	15100.49893	15100.49893	37	0	1	0
101	94	1992	9.199999809	2	0	18475.23165	18303.63507	33	11	1	0.171596579
102	95	1992	4.599999905	0	1	10295.79473	0	21	7	0	10.29579473
103	11	1993	7.900000095	0	0	12773.3564	12773.3564	47	7	1	0
104	12	1993	6.599999905	0	0	0	0	35	10	0	0
105	13	1993	5.5	3	0	9921.010381	0	33	10	0	9.921010381
106	14	1993	6.900000095	3	1	5795.771626	0	35	7	0	5.795771626
107	15	1993	7.800000191	0	0	49427.33564	49427.33564	22	10	1	0
108	16	1993	6.300000191	0	0	29610.86159	0	39	10	0	29.61086159
109	21	1993	7.800000191	0	1	7070.885813	0	47	3	0	7.070885813
110	22	1993	7.5	0	1	12217.99308	2221.453287	41	11	1	9.996539792
111	23	1993	7.099999905	2	1	10309.76471	10309.76471	21	10	1	0
112	31	1993	6.5	4	1	10340.86505	0	28	11	0	10.34086505
113	32	1993	5.400000095	0	0	7161.965398	1110.726644	24	11	1	6.051238754
114	33	1993	7.5	7	0	16665.34256	5775.778547	33	10	1	10.88956401
115	34	1993	7.099999905	0	0	5553.633218	0	45	0	0	5.553633218
116	35	1993	4.699999809	1	1	11938.08997	7108.650519	38	7	1	4.829439446
117	41	1993	5.099999905	0	0	5553.633218	5553.633218	23	0	1	0
118	42	1993	4	2	0	5810.211073	0	21	10	0	5.810211073
119	43	1993	6.5	2	0	4620.622837	4620.622837	30	11	1	0
